職缺,職缺公司,職缺日期,職缺技術,薪水,工作地點,職務類別,內容
品保工程師,興勤電子工業股份有限公司,5/26,經歷不拘,待遇面議,高雄市楠梓區,其他電子零組件相關業,"1.品質系統管理維護與工廠品管相關範疇庶務工作執行。
2.客訴協助處理。
3.製程缺失改善檢討及追蹤。
4.IQC/IPQC/FQC/OQC品管機能管理。"
監造工程師(高雄地區),松陽工程顧問有限公司,5/26,經歷不拘,"月薪35,000~50,000元",高雄市鳳山區,建築及工程技術服務業,"1.視工作需要，配合公司承攬工程負責監造工作，監造地點在高雄市。   
2.有土木相關工程經驗者，需具備品管工程師資格。
3.需相關科系畢業。"
Unity3D遊戲工程師,羲奕研策股份有限公司,5/24,1年以上,"月薪28,000~50,000元",台中市西屯區,多媒體相關業,"1.良好的編碼習慣與風格

2.具溝通協調能力，與小組共同完成任務；亦可獨立作業，完成上級交付之任務。

3.功能時程評估，配合其他工程師進行功能開發。

4.以Unity及C#開發、修改、維護適用於移動平台(Android、"
高級品保工程師,鑫創電子股份有限公司,5/21,3年以上,待遇面議,新北市中和區,其他電子零組件相關業,"1.品質異常原因分析及改善追蹤。
2.客訴異常分析及改善。
3.客戶稽核作業執行及追蹤。
4.ISO文件程序管理維護、ISO內外稽核。
5.其他品質相關工作。"
品保工程師,佳勝科技股份有限公司,5/26,2年以上,"月薪35,000~45,000元",桃園市觀音區,印刷電路板製造業(PCB),"1.信賴性測試.
2.實驗室管理.
3.儀器校正.
4.量測數據統計與分析.
*具CQT或品管工作相關經驗者佳"
助理工程師,新麗企業股份有限公司,5/22,5年以上,"月薪28,000~33,000元",台南市官田區,不織布業,"1.產線設備檢查與各種生產表單記錄。
2.產線作業。
3.協助人員與品質管理。
4.協助原物料管理。
5.執行上級交辦的工作。
"
品管工程師,翔鈺營造股份有限公司,5/24,經歷不拘,待遇面議,南投縣草屯鎮,建築工程業,品管工程師，負責施工監造品質管理。
品保工程師,聯毅科技股份有限公司,5/25,3年以上,待遇面議,新竹縣竹北市,半導體製造業,"1.ISO9001，ISO13485 品質系統制度流程維護，內外部稽核之規劃與管理。
2.儀量錶校驗之計畫與管理。
3.文件管制作業管理、修訂與公告。
4.客訴/品質異常統計分析，與改善成效執行管理。
5.各階段品質檢驗(IQC,IPQC,FQC,OQC)及供應商評鑑/評核/稽核。
6.提供內外部及各項定期品質報表資料。
7.主管交辦事項。"
品管工程師,廣玥科技股份有限公司,5/26,2年以上,"月薪28,000~40,000元",台南市仁德區,其他化學相關製造業,"1.監督生產程序，審查產品的樣品並進行測試
2.開發及實施產品追蹤和品管系統
3.檢閱計劃，並與研究、支援人員商討，以開發新產品和程序。
4.執行並分析問題
5.跨部門溝通、協調事宜
6.針對問題撰寫8D報告
7.具化工背景，熟ISO尤佳。 "
ME工程師,長豐智能科技股份有限公司,5/25,2年以上,"月薪40,000~50,000元",桃園市龜山區,電腦及其週邊設備製造業,"1.產品文件承接及製程SOP製作
2.工時評估及製程標準化
3.產品檢視及故障排除
4.優化產線品質及效率"
網路工程師,網資通有限公司,5/20,1年以上,"月薪35,000~45,000元",台中市南屯區,電腦系統整合服務業,"【工作描述】
1. 維運服務監控及回報
2. 機器效能與網路品質監控。
3. 排除網路第一線問題，簡易的調整與清除快取。
4. 對系統、網路、資安維運紀錄，定期追蹤並回報案件的後續處理進度。
5. 對於資訊領域有熱情，能細心地完成文件記錄，並願學習相關新技能。
6. 可接受排班，具備協調能力，態度積極並樂於解決問題。

【需求技能】
1. 熟悉OSI七層網路架構概念。
2. 熟悉DNS , FTP , MTR , Dig , Curl , nslookup相關基礎除錯技能。
3. 有快速重點式的邏輯思考能力與簡報能力。
4. 具備基礎網路概念

【加分條件】
1. 有 CCNA 或更高階證照者佳。
2. 數理/資管/資工/科技應用相關學歷背景。
3. 有CDN相關使用經驗佳。"
Ruby on Rails 工程師,前網數位資訊股份有限公司,5/24,1年以上,"月薪38,000~65,000元",新北市永和區,電腦軟體服務業,"技的程式碼。
若你還是 Junior, 會由資深的工程師擔任你的 Mentor, 協助你成長。"
Java工程師,銀月數位整合有限公司,5/22,3年以上,待遇面議,新北市三重區,網際網路相關業,"Java 後端開發工程師
"
設備工程師 - J1646,廣達電腦股份有限公司,5/17,經歷不拘,"月薪34,000元以上",桃園市龜山區,電腦及其週邊設備製造業,"養。
6. 負責生產設備/治具各類規範與相關文件之撰寫。 
7.工作待遇/職稱(助理工程師或工程師)：將依學經歷進行敘薪"
設備維修工程師,欣陽電機有限公司,5/23,經歷不拘,"月薪32,000~60,000元",新竹市,其他半導體相關業,"需專科、四技、大學以上機械/電機系畢業
無經驗可

設備維修工程師工作內容
1.交直流伺服馬達維修
2.直驅式伺服馬達維修
3.風扇 & PUMP馬達維修
4.步進馬達維修
5.感應式馬達維修
6.主軸馬達SPINDEL維修
7.閥門VALVE維"
客服工程師,英豈科技股份有限公司,5/23,1年以上,"月薪30,000~40,000元",新北市中和區,電腦系統整合服務業,"1. 客戶端資訊環境建置與技術維護 
2. 客戶端基礎網路設備建置與維護
3. 提供客戶端資訊設備臨場維護
4. 支援系統工程師專案建置
5. 支援專案經理計劃執行

以上不需要你很強，但需要有決心。因為我們絕對有心！
我們是一家新創系統整合商("
品保工程師,榮興工業股份有限公司,5/27,5年以上,"月薪28,000~40,000元",台南市歸仁區,機械器具批發業,"1.負責公司品管體系的建立，對出現的各種質量問題進行跟蹤處理。
2.協助主管規劃品保制度，流程之建立及需求表單建立。
3.檢驗規範制定、測試品保流程及制度可靠度。
4.協助公司推動品保及安規執行與管理。
5.依公司流程執行品保工作、並作品質改善。
6.品管系統流程維護，協助持續改善，並提出執行所遇之問題供日後改進。
7.改善產品信賴度、可靠性、品質，進而全面提升產品品質。
8.負責ISO體制之推行、供應商IQC管理，以及製品IPQC及OQC管理。
9.推行並落實QA管理制度，以及規劃品質系統相關之教育訓練。
10.主導內部稽核活動及外部認證，監督及管理TQM執行成效。
11. 會操作三次元量測尤佳。

"
品管工程師,士誼科技事業股份有限公司,5/19,1年以上,"月薪32,000~35,000元",桃園市中壢區,其他電信及通訊相關業,"1.IQC、IPQC、FQC客訴 品質驗證、測試、異常追蹤。
2.供應商零件承認,可靠度試驗。
3.其它主管交辦品質系統ISO事項。
4.可配公司加班。"
MIS工程師,物聯智慧股份有限公司,5/21,1年以上,"月薪28,000~53,000元",台北市南港區,電腦及其週邊設備製造業,"1.PC & NC軟硬體及週邊設備的組裝、安裝測試、維護及問題排除。
2.IT資產（會議、門禁、安全監控、網路、通訊、資安等硬體設備或軟體系統）與資訊機房  
     的修繕維護 。
3.網路規劃維護與軟體系統應用操作，包含Linux/Microsoft相關server設定與管理、      
     AD/NAS/Router/Mail Gateway/VPN架設、Firewall/Antivirus與其他資安相關系統管理等 。
4.協助各資訊系統整合與維護 。
5.協助企業內部系統規劃與開發 。
6.主管交辦事項。"
設備工程師,微鑫電子股份有限公司,5/26,2年以上,"月薪35,000元以上",新竹縣湖口鄉,其他半導體相關業,"1、定期維護、保養生產設備機台
2、環境6S整理整頓
3、機台維修 .改善
4、主管交辦事項"
品管工程師,萬向精密股份有限公司,5/21,經歷不拘,"月薪32,000~43,000元",台中市南區,自行車及其零件製造業,"品質系統改善、數據分析整理、ISO系統維護、品質異常處理、

具備三次元量測儀或有TS16949證照者，可額外加給。

"
SMT工程師,科昶電子有限公司,5/26,1年以上,"月薪30,000~40,000元",桃園市新屋區,消費性電子產品製造業,"SMT產線工程師 1.SMT設備操作
                             2.Profile調整
                             3.試產報告撰寫




"
中級JAVA工程師,隆源資訊有限公司,5/25,經歷不拘,"月薪70,000元以上",台北市內湖區,網際網路相關業,"*我們在尋找業界最頂尖Pro等級的工程師，也能給你Pro等級的待遇*
*只要認為你夠優秀，歡迎各界大神來挑戰*

1.負責網頁應用程式的功能模組開發，熟悉java, spring boot, mysql， 可自行設計並實現核心功能模組與定時排程，"
Layout工程師,星博電子股份有限公司,5/21,經歷不拘,"月薪25,600~35,000元",高雄市三民區,電力機械器材製造修配業,"1. 電路繪製: 依工程師手稿進行電路繪製、 
2. PCB Layout:PCB Layout 設計、依據PCB 設計準則、Gerber 出圖、圖面上傳、打樣通知、樣品索取、樣品尺寸及組立確認、急樣需求協助、各式 Layout相關工作支援。"
品管工程師,玉逢工程有限公司,5/21,2年以上,"月薪50,000~70,000元",桃園市蘆竹區,建築及工程技術服務業,"1.依據工程契約、設計圖說、規範、相關技術法規及參考品質計畫製作綱要
等，訂定品質計畫，據以推動實施。
2.執行內部品質稽核，如稽核自主檢查表之檢查項目、檢查結果是否詳實記
錄等。
3.品管統計分析、矯正與預防措施之提出及追蹤改善。
4.品質文件、紀錄之管理。
5.其他提升工程品質事宜。"
監造工程師（嘉義）,世合工程技術顧問股份有限公司,5/20,2年以上,"月薪38,000~60,000元",嘉義市,建築及工程技術服務業,土木、結構、大地、水利及水保工程之監造工程師，主要從事公共工程之甲方監造。具有相關工作經驗者，想要更換工作環境轉換跑道，可年後上班。本公司南北各辦公室之人員薪資與福利制度均為一致標準，不會有南、北差異情形。因此有信心所提供之薪資與福利定能優於在地
IE工程師,全一電子股份有限公司,5/25,2年以上,待遇面議,台南市南區,其他電子零組件相關業,"1.產線作業效率分析與改善。
2.各工作站標準需求產能與Layout規劃。
3.設備能力、生產人力分析與配置規劃
4. MES途程設定與維護
5.Flexsim製程規劃軟體操作
6.MIT機種規劃"
